47.99.109.174 - - [10/Aug/2019:01:48:22 -0700] "GET /config/ueditor/net/controller.ashx HTTP/1.1" 404 294 "http://www.secrepo.com/config/ueditor/net/controller.ashx" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" 
5.255.250.94 - - [10/Aug/2019:01:48:44 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
100.43.90.103 - - [10/Aug/2019:01:48:44 -0700] "GET /robots.txt HTTP/1.1" 200 265 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
100.43.90.103 - - [10/Aug/2019:01:48:48 -0700] "GET / HTTP/1.1" 301 474 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
5.255.250.94 - - [10/Aug/2019:01:48:49 -0700] "GET / HTTP/1.1" 200 12430 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
37.9.87.180 - - [10/Aug/2019:01:48:50 -0700] "GET /css/style.css HTTP/1.1" 404 294 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 
110.138.33.98 - - [10/Aug/2019:01:57:43 -0700] "GET / HTTP/1.1" 200 12430 "http://welcome.indihome.co.id/landing-page" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134" 
110.138.33.98 - - [10/Aug/2019:01:57:44 -0700] "GET /css/style.css HTTP/1.1" 404 294 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134" 
110.138.33.98 - - [10/Aug/2019:01:57:44 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134" 
110.138.33.98 - - [10/Aug/2019:01:57:57 -0700] "GET /twitter-icon.png HTTP/1.1" 304 175 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134" 
122.3.174.242 - - [10/Aug/2019:02:03:29 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
122.3.174.242 - - [10/Aug/2019:02:03:29 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
122.3.174.242 - - [10/Aug/2019:02:03:29 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
122.3.174.242 - - [10/Aug/2019:02:03:29 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
122.3.174.242 - - [10/Aug/2019:02:03:32 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
23.253.92.35 - - [10/Aug/2019:02:14:37 -0700] "GET /robots.txt HTTP/1.1" 301 439 "-" "Tornado-Async-Client" 
23.253.92.35 - - [10/Aug/2019:02:14:38 -0700] "GET /robots.txt HTTP/1.1" 304 128 "-" "Tornado-Async-Client" 
23.253.92.35 - - [10/Aug/2019:02:14:38 -0700] "GET /honeypot/BSidesDFW HTTP/1.1" 301 455 "-" "Tornado-Async-Client" 
23.253.92.35 - - [10/Aug/2019:02:14:38 -0700] "GET /honeypot/BSidesDFW HTTP/1.1" 404 216 "-" "Tornado-Async-Client" 
157.55.39.179 - - [10/Aug/2019:02:16:48 -0700] "GET /self.logs/ HTTP/1.1" 200 17463 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
113.171.224.176 - - [10/Aug/2019:02:20:14 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
121.249.15.229 - - [10/Aug/2019:02:22:57 -0700] "GET /favicon.ico HTTP/1.1" 200 302 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0" 
222.186.150.210 - - [10/Aug/2019:02:26:16 -0700] "GET //install/index.php.bak HTTP/1.1" 404 294 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" 
222.186.150.210 - - [10/Aug/2019:02:26:16 -0700] "GET //install/index.php?step=11&insLockfile=a&s_lang=a&install_demo_name=../data/admin/config_update.php HTTP/1.1" 404 271 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" 
13.234.188.196 - - [10/Aug/2019:02:35:01 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
13.234.188.196 - - [10/Aug/2019:02:35:05 -0700] "GET /css/style.css HTTP/1.1" 404 294 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
13.234.188.196 - - [10/Aug/2019:02:35:07 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
13.234.188.196 - - [10/Aug/2019:02:35:07 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
13.234.188.196 - - [10/Aug/2019:02:35:24 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36" 
43.241.157.146 - - [10/Aug/2019:02:51:16 -0700] "HEAD /uc_client/client.php HTTP/1.1" 404 275 "-" "-" 
122.167.27.75 - - [10/Aug/2019:02:54:27 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:54:28 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:54:28 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:54:28 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:54:30 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
157.55.39.179 - - [10/Aug/2019:02:55:25 -0700] "GET /self.logs/access.log.2017-02-06.gz HTTP/1.1" 301 543 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
122.167.27.75 - - [10/Aug/2019:02:58:17 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:58:18 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
122.167.27.75 - - [10/Aug/2019:02:58:19 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 601 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-A705GM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36" 
95.163.255.191 - - [10/Aug/2019:03:01:26 -0700] "GET /robots.txt HTTP/1.0" 200 251 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 
