139.129.98.166 - - [22/Sep/2019:02:27:19 -0700] "GET /app/app/ueditor/php/controller.php HTTP/1.1" 404 294 "http://www.secrepo.com/app/app/ueditor/php/controller.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" 
54.36.150.161 - - [22/Sep/2019:02:30:31 -0700] "GET /Datasets%20Description/Network/ftp.html HTTP/1.1" 200 1407 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.148.16 - - [22/Sep/2019:02:35:43 -0700] "GET /self.logs/2016/access.log.2016-01-18.gz HTTP/1.1" 200 7246 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
31.205.76.90 - - [22/Sep/2019:02:37:45 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
31.205.76.90 - - [22/Sep/2019:02:37:45 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
31.205.76.90 - - [22/Sep/2019:02:37:45 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
31.205.76.90 - - [22/Sep/2019:02:37:45 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7427 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
31.205.76.90 - - [22/Sep/2019:02:37:46 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 601 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
54.36.148.45 - - [22/Sep/2019:02:43:33 -0700] "GET /self.logs/2015/error.log.2015-05-17.gz HTTP/1.1" 200 700 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.148.15 - - [22/Sep/2019:02:46:33 -0700] "GET /self.logs/error.log.2017-05-27.gz HTTP/1.1" 200 562 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
157.55.39.154 - - [22/Sep/2019:02:47:20 -0700] "GET /self.logs/access.log.2017-01-29.gz HTTP/1.1" 200 31303 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /manager/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admincms/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admini/logion.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admin/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /manage/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD //@admin HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /@admin/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admincp/login.php HTTP/1.1" 404 275 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admin/login.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /dede/login.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admincms/login.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /@admin/login.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /admini/logion.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD //@admin HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /manage/login.php HTTP/1.1" 404 197 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /manager/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /dede/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:40 -0700] "HEAD /88888/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:41 -0700] "HEAD /login/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:42 -0700] "HEAD /dede888/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:43 -0700] "HEAD /guanli88/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /admin88/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /8888/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /houtai/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /dede88/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /guanli/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /houtai88/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /manage/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /dede/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /manager/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /admin888/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /520/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /admincp/login.php HTTP/1.1" 404 231 "-" "-" 
112.114.107.146 - - [22/Sep/2019:02:50:44 -0700] "HEAD /888888/login.php HTTP/1.1" 404 231 "-" "-" 
54.36.150.108 - - [22/Sep/2019:02:54:15 -0700] "GET /self.logs/error.log.2016-05-05.gz HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.150.0 - - [22/Sep/2019:03:15:25 -0700] "GET /self.logs/error.log.2016-06-14.gz HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
77.191.62.72 - - [22/Sep/2019:03:19:18 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:19:18 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:19:18 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:19:18 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7427 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:19:18 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 601 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:20:10 -0700] "GET /Datasets%20Description/Network/http.html HTTP/1.1" 200 1630 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
77.191.62.72 - - [22/Sep/2019:03:20:10 -0700] "GET /favicon.ico HTTP/1.1" 200 279 "http://www.secrepo.com/Datasets%20Description/Network/http.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36" 
113.171.224.176 - - [22/Sep/2019:03:32:51 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
157.55.39.154 - - [22/Sep/2019:03:33:03 -0700] "GET /honeypot/honeypot%20-%20howto.pdf HTTP/1.1" 301 533 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
157.55.39.154 - - [22/Sep/2019:03:33:11 -0700] "GET /honeypot/honeypot%20-%20howto.pdf HTTP/1.1" 404 294 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
54.36.149.94 - - [22/Sep/2019:03:43:56 -0700] "GET /self.logs/access.log.2018-05-23.gz HTTP/1.1" 200 18389 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.150.105 - - [22/Sep/2019:03:58:09 -0700] "GET /self.logs/access.log.2017-11-17.gz HTTP/1.1" 200 19578 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
59.153.103.45 - - [22/Sep/2019:04:01:28 -0700] "GET /robots.txt HTTP/1.1" 200 288 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
59.153.103.45 - - [22/Sep/2019:04:01:28 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
59.153.103.45 - - [22/Sep/2019:04:01:29 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
59.153.103.45 - - [22/Sep/2019:04:01:29 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
59.153.103.45 - - [22/Sep/2019:04:01:29 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7427 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
59.153.103.45 - - [22/Sep/2019:04:01:30 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 601 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
61.150.43.54 - - [22/Sep/2019:04:09:19 -0700] "GET /favicon.ico HTTP/1.1" 200 302 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
24.121.219.54 - - [22/Sep/2019:04:15:34 -0700] "GET /honeypot/Honeypot%20-%20Howto%20-%20BSides%20Austin.pdf HTTP/1.0" 200 1830840 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36 JuziBrowser" 
103.221.234.155 - - [22/Sep/2019:04:21:25 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.0" 200 1279403 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 UBrowser/7.0.185.1002 Safari/537.36" 
199.58.86.209 - - [22/Sep/2019:04:25:49 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
199.58.86.209 - - [22/Sep/2019:04:25:50 -0700] "GET /robots.txt HTTP/1.1" 200 288 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
199.58.86.209 - - [22/Sep/2019:04:25:52 -0700] "GET / HTTP/1.1" 301 419 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
199.58.86.209 - - [22/Sep/2019:04:25:58 -0700] "GET / HTTP/1.1" 200 12387 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
195.117.2.196 - - [22/Sep/2019:04:31:32 -0700] "GET /wp-login.php HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
195.117.2.196 - - [22/Sep/2019:04:31:32 -0700] "GET / HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
108.59.8.80 - - [22/Sep/2019:04:34:31 -0700] "GET /robots.txt HTTP/1.1" 200 288 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
54.36.148.238 - - [22/Sep/2019:04:34:37 -0700] "GET /self.logs/access.log.2016-07-29.gz HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
108.59.8.80 - - [22/Sep/2019:04:34:45 -0700] "GET / HTTP/1.1" 200 12388 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
113.171.224.176 - - [22/Sep/2019:04:36:12 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
81.255.240.53 - - [22/Sep/2019:04:37:51 -0700] "GET / HTTP/1.1" 301 475 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0" 
81.255.240.53 - - [22/Sep/2019:04:37:51 -0700] "GET / HTTP/1.1" 200 46605 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0" 
54.36.148.11 - - [22/Sep/2019:04:41:43 -0700] "GET /self.logs/error.log.2018-10-05.gz HTTP/1.1" 200 4862 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.149.10 - - [22/Sep/2019:05:01:41 -0700] "GET /self.logs/error.log.2018-12-31.gz HTTP/1.1" 200 5180 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
109.167.29.25 - - [22/Sep/2019:05:13:55 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.0" 200 1279403 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.189 Safari/537.36 Vivaldi/1.95.1077.60" 
54.36.150.50 - - [22/Sep/2019:05:23:52 -0700] "GET /self.logs/access.log.2018-12-18.gz HTTP/1.1" 200 19695 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
