54.36.148.250 - - [05/Jun/2020:01:54:47 -0700] "GET /self.logs/2015/access.log.2015-05-04.gz HTTP/1.1" 200 3879 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.148.32 - - [05/Jun/2020:01:54:47 -0700] "GET /self.logs/2015/access.log.2015-12-14.gz HTTP/1.1" 200 6607 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
34.204.193.85 - - [05/Jun/2020:01:57:26 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" 
34.204.193.85 - - [05/Jun/2020:01:57:26 -0700] "GET /self.logs/ HTTP/1.1" 200 23116 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" 
109.27.235.22 - - [05/Jun/2020:01:59:48 -0700] "GET / HTTP/1.1" 200 12776 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
109.27.235.22 - - [05/Jun/2020:01:59:48 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
109.27.235.22 - - [05/Jun/2020:01:59:49 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
109.27.235.22 - - [05/Jun/2020:01:59:49 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
109.27.235.22 - - [05/Jun/2020:01:59:49 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
109.27.235.22 - - [05/Jun/2020:01:59:50 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0" 
222.222.130.54 - - [05/Jun/2020:02:00:19 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
34.204.193.85 - - [05/Jun/2020:02:02:09 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/irc.html HTTP/1.1" 304 277 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" 
182.88.8.213 - - [05/Jun/2020:02:03:57 -0700] "GET / HTTP/1.1" 200 12732 "-" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.9805.620 Mobile Safari/537.36" 
182.88.8.213 - - [05/Jun/2020:02:03:58 -0700] "GET / HTTP/1.1" 200 12776 "-" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.9805.620 Mobile Safari/537.36" 
182.88.8.213 - - [05/Jun/2020:02:03:58 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.9805.620 Mobile Safari/537.36" 
182.88.8.213 - - [05/Jun/2020:02:03:58 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.9805.620 Mobile Safari/537.36" 
182.88.8.213 - - [05/Jun/2020:02:03:59 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.9805.620 Mobile Safari/537.36" 
222.90.67.201 - - [05/Jun/2020:02:07:24 -0700] "GET / HTTP/1.1" 200 12776 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
222.90.67.201 - - [05/Jun/2020:02:07:25 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
222.90.67.201 - - [05/Jun/2020:02:07:25 -0700] "GET /favicon.ico HTTP/1.1" 200 368 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
222.90.67.201 - - [05/Jun/2020:02:07:26 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
222.90.67.201 - - [05/Jun/2020:02:07:28 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0" 
34.204.193.85 - - [05/Jun/2020:02:14:32 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/conn.html HTTP/1.1" 304 277 "-" "CCBot/2.0 (https://commoncrawl.org/faq/)" 
122.193.87.110 - - [05/Jun/2020:02:19:10 -0700] "GET / HTTP/1.1" 200 12777 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0" 
122.193.87.110 - - [05/Jun/2020:02:19:10 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0" 
