173.231.59.214 - - [21/Aug/2020:02:32:00 -0700] "GET /self.logs/error.log.2019-04-21.gz HTTP/1.1" 200 5148 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:05 -0700] "GET /self.logs/error.log.2019-04-22.gz HTTP/1.1" 200 3804 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:10 -0700] "GET /self.logs/error.log.2019-04-23.gz HTTP/1.1" 200 4747 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:16 -0700] "GET /self.logs/error.log.2019-04-24.gz HTTP/1.1" 200 5011 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:21 -0700] "GET /self.logs/error.log.2019-04-25.gz HTTP/1.1" 200 5388 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:26 -0700] "GET /self.logs/error.log.2019-04-26.gz HTTP/1.1" 200 4734 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:32 -0700] "GET /self.logs/error.log.2019-04-27.gz HTTP/1.1" 200 5133 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:38 -0700] "GET /self.logs/error.log.2019-04-28.gz HTTP/1.1" 200 4231 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:43 -0700] "GET /self.logs/error.log.2019-04-29.gz HTTP/1.1" 200 15484 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:48 -0700] "GET /self.logs/error.log.2019-04-30.gz HTTP/1.1" 200 5133 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:53 -0700] "GET /self.logs/error.log.2019-05-01.gz HTTP/1.1" 200 7524 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:32:58 -0700] "GET /self.logs/error.log.2019-05-02.gz HTTP/1.1" 200 3263 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:03 -0700] "GET /self.logs/error.log.2019-05-03.gz HTTP/1.1" 200 4487 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:08 -0700] "GET /self.logs/error.log.2019-05-04.gz HTTP/1.1" 200 6856 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:13 -0700] "GET /self.logs/error.log.2019-05-05.gz HTTP/1.1" 200 4866 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:19 -0700] "GET /self.logs/error.log.2019-05-06.gz HTTP/1.1" 200 7300 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:24 -0700] "GET /self.logs/error.log.2019-05-07.gz HTTP/1.1" 200 5153 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:29 -0700] "GET /self.logs/error.log.2019-05-08.gz HTTP/1.1" 200 4517 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
173.231.59.214 - - [21/Aug/2020:02:33:34 -0700] "GET /self.logs/error.log.2019-05-09.gz HTTP/1.1" 200 5616 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; Adsbot/3.1)" 
