162.241.148.253 - - [14/Jan/2021:01:53:26 -0800] "HEAD / HTTP/1.1" 200 359 "https://www.ilovephd.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36" 
114.119.157.43 - - [14/Jan/2021:01:54:24 -0800] "GET /self.logs/error.log.2018-02-18.gz HTTP/1.1" 200 3522 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
54.36.148.18 - - [14/Jan/2021:01:55:38 -0800] "GET /Datasets%20Description/HTML_Bro_log_2/files.html HTTP/1.1" 200 1866 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.159.40 - - [14/Jan/2021:01:59:31 -0800] "GET /self.logs/error.log.2019-02-01.gz HTTP/1.1" 200 3512 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.159.40 - - [14/Jan/2021:02:04:37 -0800] "GET /self.logs/access.log.2020-02-14.gz HTTP/1.1" 200 14775 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
162.210.196.98 - - [14/Jan/2021:02:08:29 -0800] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
162.210.196.98 - - [14/Jan/2021:02:08:31 -0800] "GET / HTTP/1.1" 200 12838 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
114.119.159.101 - - [14/Jan/2021:02:09:43 -0800] "GET /self.logs/2015/access.log.2015-11-20.gz HTTP/1.1" 200 8454 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
118.189.184.49 - - [14/Jan/2021:02:12:16 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:12:17 -0800] "GET / HTTP/1.1" 200 12882 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:12:17 -0800] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:12:18 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:12:18 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:12:18 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:13:05 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 182567 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
114.119.155.228 - - [14/Jan/2021:02:14:49 -0800] "GET /self.logs/2015/error.log.2015-09-27.gz HTTP/1.1" 200 833 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
118.189.184.49 - - [14/Jan/2021:02:17:58 -0800] "GET /Datasets%20Description/Network/ssh.html HTTP/1.1" 200 1368 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:17:58 -0800] "GET /favicon.ico HTTP/1.1" 200 368 "http://www.secrepo.com/Datasets%20Description/Network/ssh.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
114.119.129.244 - - [14/Jan/2021:02:19:55 -0800] "GET /self.logs/error.log.2018-08-07.gz HTTP/1.1" 200 8518 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
207.46.13.97 - - [14/Jan/2021:02:23:54 -0800] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 304 265 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
