17.121.115.242 - - [10/Dec/2021:02:47:22 -0800] "GET /self.logs/error.log.2020-05-01 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
51.222.253.14 - - [10/Dec/2021:02:52:37 -0800] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
51.222.253.20 - - [10/Dec/2021:02:52:38 -0800] "GET /Datasets%20Description/Network/?C=S;O=A HTTP/1.1" 200 722 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.149.90 - - [10/Dec/2021:02:54:40 -0800] "GET /auth.log/auth.log.gz HTTP/1.1" 200 615679 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
123.125.109.123 - - [10/Dec/2021:03:01:51 -0800] "GET /css/style.css HTTP/1.1" 301 464 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
123.125.109.123 - - [10/Dec/2021:03:01:52 -0800] "GET /css/style.css HTTP/1.1" 404 291 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
123.125.109.123 - - [10/Dec/2021:03:01:53 -0800] "GET /css/style.css HTTP/1.1" 301 464 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
123.125.109.123 - - [10/Dec/2021:03:01:53 -0800] "GET /css/style.css HTTP/1.1" 404 291 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:54 -0800] "GET /css/style.css HTTP/1.1" 301 464 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:55 -0800] "GET /css/style.css HTTP/1.1" 404 291 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:55 -0800] "GET /css/style.css HTTP/1.1" 301 464 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:56 -0800] "GET /css/style.css HTTP/1.1" 404 291 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:56 -0800] "GET /css/style.css HTTP/1.1" 301 464 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
49.7.21.64 - - [10/Dec/2021:03:01:56 -0800] "GET /css/style.css HTTP/1.1" 404 291 "http://secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
17.58.117.133 - - [10/Dec/2021:03:04:57 -0800] "GET /self.logs/error.log.2020-07-02 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
114.119.149.90 - - [10/Dec/2021:03:11:38 -0800] "GET /self.logs/access.log.2018-09-08.gz HTTP/1.1" 200 48791 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
157.55.39.73 - - [10/Dec/2021:03:11:51 -0800] "GET /self.logs/access.log.2019-12-01.gz HTTP/1.1" 200 14741 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
66.249.66.86 - - [10/Dec/2021:03:12:31 -0800] "GET /ads.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.66.86 - - [10/Dec/2021:03:12:32 -0800] "GET /ads.txt HTTP/1.1" 301 489 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
220.181.41.13 - - [10/Dec/2021:03:15:13 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 304 263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36" 
114.119.135.212 - - [10/Dec/2021:03:28:33 -0800] "GET /self.logs/error.log.2018-12-13.gz HTTP/1.1" 200 6768 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
157.55.39.22 - - [10/Dec/2021:03:40:04 -0800] "GET /self.logs/error.log.2021-11-09.gz HTTP/1.1" 200 5632 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
40.77.167.28 - - [10/Dec/2021:03:40:31 -0800] "GET /self.logs/access.log.2021-07-10.gz HTTP/1.1" 301 543 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
157.55.39.73 - - [10/Dec/2021:03:40:54 -0800] "GET /self.logs/access.log.2021-08-03.gz HTTP/1.1" 301 543 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
51.222.253.10 - - [10/Dec/2021:03:45:24 -0800] "GET /Datasets%20Description/Network/?C=D;O=A HTTP/1.1" 200 725 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
37.57.218.243 - - [10/Dec/2021:03:45:31 -0800] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
