66.249.66.92 - - [18/Feb/2022:02:27:26 -0800] "GET /ads.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
114.119.149.237 - - [18/Feb/2022:02:28:52 -0800] "GET /self.logs/error.log.2018-08-01.gz HTTP/1.1" 200 5797 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
123.201.25.200 - - [18/Feb/2022:02:29:41 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36" 
123.201.25.200 - - [18/Feb/2022:02:29:42 -0800] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36" 
114.119.149.218 - - [18/Feb/2022:02:40:19 -0800] "GET /self.logs/access.log.2019-06-29.gz HTTP/1.1" 200 53334 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
13.66.139.1 - - [18/Feb/2022:02:41:47 -0800] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
13.66.139.0 - - [18/Feb/2022:02:41:48 -0800] "GET /self.logs/access.log.2021-01-06.gz HTTP/1.1" 200 24890 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
59.56.205.226 - - [18/Feb/2022:02:44:32 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:32 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:32 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
59.56.205.226 - - [18/Feb/2022:02:44:32 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78408 "http://www.secrepo.com/maccdc2012/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36" 
