61.158.146.80 - - [28/Mar/2022:01:51:59 -0700] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 200 78880 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0" 
182.150.123.23 - - [28/Mar/2022:01:56:26 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36" 
182.150.123.23 - - [28/Mar/2022:01:56:26 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36" 
182.150.123.23 - - [28/Mar/2022:01:56:26 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36" 
182.150.123.23 - - [28/Mar/2022:01:56:26 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36" 
182.150.123.23 - - [28/Mar/2022:01:57:12 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36" 
114.119.149.218 - - [28/Mar/2022:02:05:44 -0700] "GET /self.logs/error.log.2017-12-15.gz HTTP/1.1" 200 1911 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
51.222.253.1 - - [28/Mar/2022:02:07:28 -0700] "GET /Datasets%20Description/HTML_Bro_log_1/?C=D;O=A HTTP/1.1" 200 790 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
156.251.18.35 - - [28/Mar/2022:02:10:56 -0700] "GET / HTTP/1.1" 200 13148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36" 
114.119.149.218 - - [28/Mar/2022:02:16:22 -0700] "GET /self.logs/2015/access.log.2015-02-06.gz HTTP/1.1" 200 2937 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
17.121.113.32 - - [28/Mar/2022:02:17:59 -0700] "GET /self.logs/error.log.2020-03-31 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
94.17.156.82 - - [28/Mar/2022:02:21:48 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15" 
65.21.237.125 - - [28/Mar/2022:02:22:01 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/dns.html HTTP/1.1" 200 1793 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:02 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/dpd.html HTTP/1.1" 200 1625 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:04 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/files.html HTTP/1.1" 200 1873 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:05 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/http.html HTTP/1.1" 200 1998 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:06 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/irc.html HTTP/1.1" 200 1747 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:08 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/loaded_scripts.html HTTP/1.1" 200 1506 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:09 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/notice.html HTTP/1.1" 200 1965 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:10 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/packet_filter.html HTTP/1.1" 200 1688 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:12 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/ssl.html HTTP/1.1" 200 1837 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
65.21.237.125 - - [28/Mar/2022:02:22:13 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/weird.html HTTP/1.1" 200 1894 "http://www.secrepo.com/Datasets%20Description/HTML_Bro_log_3/" "Mozilla/5.0 (compatible; SEOkicks; +https://www.seokicks.de/robot.html)" 
52.36.186.228 - - [28/Mar/2022:02:23:45 -0700] "HEAD /bootstrap/img/favicon.ico HTTP/1.1" 200 395 "-" "-" 
52.36.186.228 - - [28/Mar/2022:02:23:45 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "-" "-" 
46.17.202.12 - - [28/Mar/2022:02:23:49 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36" 
