66.249.66.71 - - [10/Jul/2022:02:06:14 -0700] "GET /self.logs/ HTTP/1.1" 200 37194 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.66.19 - - [10/Jul/2022:02:06:15 -0700] "GET /self.logs/ HTTP/1.1" 200 37194 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.66.15 - - [10/Jul/2022:02:06:17 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Googlebot-Image/1.0" 
34.206.152.150 - - [10/Jul/2022:02:12:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:02:12:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
114.119.149.237 - - [10/Jul/2022:02:15:15 -0700] "GET /self.logs/error.log.2020-07-02 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
49.7.20.105 - - [10/Jul/2022:02:20:51 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Jul/2022:02:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:02:22:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
114.119.149.23 - - [10/Jul/2022:02:27:40 -0700] "GET /self.logs/2016/?C=D%3BO%3DA HTTP/1.1" 200 7860 "http://www.secrepo.com/self.logs/2016/?C=S%3BO%3DA" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
207.46.13.50 - - [10/Jul/2022:02:30:27 -0700] "GET /self.logs/ HTTP/1.1" 200 37194 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
34.206.152.150 - - [10/Jul/2022:02:32:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:02:32:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
157.90.181.151 - - [10/Jul/2022:02:37:40 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:37:40 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:37:41 -0700] "GET /sitemap HTTP/1.1" 301 489 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:37:41 -0700] "GET /robots.txt HTTP/1.1" 200 354 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:37:42 -0700] "GET /sitemap HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:37:47 -0700] "GET /sitemap HTTP/1.1" 404 305 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:38:01 -0700] "GET /sitemap.txt HTTP/1.1" 301 497 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:38:01 -0700] "GET /sitemap.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
157.90.181.151 - - [10/Jul/2022:02:38:07 -0700] "GET /sitemap.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" 
34.206.152.150 - - [10/Jul/2022:02:42:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:02:42:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
157.55.39.202 - - [10/Jul/2022:02:50:42 -0700] "GET /self.logs/access.log.2017-01-05.gz HTTP/1.1" 200 42710 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
34.206.152.150 - - [10/Jul/2022:02:52:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:02:52:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.105 - - [10/Jul/2022:02:57:08 -0700] "GET / HTTP/1.1" 200 13150 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
141.22.28.16 - - [10/Jul/2022:03:00:50 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" 
141.22.28.16 - - [10/Jul/2022:03:00:51 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" 
34.206.152.150 - - [10/Jul/2022:03:02:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:02:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
207.46.13.50 - - [10/Jul/2022:03:03:30 -0700] "GET /self.logs/ HTTP/1.1" 200 37194 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
103.131.71.211 - - [10/Jul/2022:03:04:32 -0700] "GET /robots.txt HTTP/1.1" 301 458 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.211 - - [10/Jul/2022:03:04:35 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
20.9.15.45 - - [10/Jul/2022:03:11:24 -0700] "GET / HTTP/1.1" 200 13142 "-" "awesome_bot" 
34.206.152.150 - - [10/Jul/2022:03:12:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:12:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
103.251.113.251 - - [10/Jul/2022:03:13:11 -0700] "GET /index.php?g=System&m=Admin&a=index HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
20.245.183.234 - - [10/Jul/2022:03:14:21 -0700] "GET / HTTP/1.1" 200 13142 "-" "awesome_bot" 
34.206.152.150 - - [10/Jul/2022:03:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:22:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.105 - - [10/Jul/2022:03:30:14 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Jul/2022:03:32:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:32:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
207.46.13.50 - - [10/Jul/2022:03:37:24 -0700] "GET /self.logs/ HTTP/1.1" 200 37194 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
34.206.152.150 - - [10/Jul/2022:03:42:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:42:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:52:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Jul/2022:03:52:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
122.242.197.166 - - [10/Jul/2022:03:58:39 -0700] "POST /fdgq.php HTTP/1.1" 418 747 "http://misc.yahoo.com.cn/" "Mozilla/5.0+(compatible;+Baispider/2.0;++http://www.bai.com/search/spider.html)" 
122.242.197.166 - - [10/Jul/2022:03:58:39 -0700] "POST /fdgq.php HTTP/1.1" 418 746 "http://misc.yahoo.com.cn/" "Mozilla/5.0+(compatible;+Baispider/2.0;++http://www.bai.com/search/spider.html)" 
122.242.197.166 - - [10/Jul/2022:03:58:40 -0700] "POST /fdgq.php HTTP/1.1" 418 746 "http://misc.yahoo.com.cn/" "Mozilla/5.0+(compatible;+Baispider/2.0;++http://www.bai.com/search/spider.html)" 
49.7.20.105 - - [10/Jul/2022:04:00:44 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Jul/2022:04:02:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
