111.167.203.53 - - [10/Sep/2022:02:16:32 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36 SE 2.X MetaSr 1.0" 
34.206.152.150 - - [10/Sep/2022:02:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:02:22:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:02:32:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:02:32:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.111 - - [10/Sep/2022:02:33:13 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
154.3.62.19 - - [10/Sep/2022:02:33:39 -0700] "GET / HTTP/1.1" 200 13149 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:33:40 -0700] "GET /Datasets HTTP/1.1" 301 454 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:33:50 -0700] "GET /Datasets HTTP/1.1" 404 291 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:33:52 -0700] "GET /tg/a.zip HTTP/1.1" 301 454 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:34:08 -0700] "GET /tg/a.zip HTTP/1.1" 200 16051240 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:34:27 -0700] "GET /domaindata/domainmovement.zip HTTP/1.1" 301 496 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:34:39 -0700] "GET /domaindata/domainmovement.zip HTTP/1.1" 200 7437799 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:35:17 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 301 482 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:35:17 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 200 10120720 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:35:38 -0700] "GET /maccdc2012/tunnel.log.gz HTTP/1.1" 301 486 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:35:46 -0700] "GET /maccdc2012/tunnel.log.gz HTTP/1.1" 200 5245 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:35:47 -0700] "GET /maccdc2012/notice.log.gz HTTP/1.1" 301 486 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:36:06 -0700] "GET /maccdc2012/notice.log.gz HTTP/1.1" 200 20760 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:36:26 -0700] "GET /honeypot/BSidesDFW HTTP/1.1" 301 474 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:36:54 -0700] "GET /pe_static/apt1.zip HTTP/1.1" 301 474 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:36:54 -0700] "GET /pe_static/apt1.zip HTTP/1.1" 200 1983402 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:37:03 -0700] "GET /tg/tg_snort_full.7z HTTP/1.1" 301 476 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:37:10 -0700] "GET /tg/tg_snort_full.7z HTTP/1.1" 200 8847868 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:37:24 -0700] "GET /maccdc2012/smtp.log.gz HTTP/1.1" 301 482 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
154.3.62.19 - - [10/Sep/2022:02:37:35 -0700] "GET /maccdc2012/smtp.log.gz HTTP/1.1" 200 6919 "-" "Mozilla/5.0 (compatible; MixrankBot; crawler@mixrank.com)" 
34.206.152.150 - - [10/Sep/2022:02:42:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:02:42:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
66.249.64.136 - - [10/Sep/2022:02:43:12 -0700] "GET /?t=1&cn=ZmxleGlibGVfcmVjc18y&refsrc=email&iid=2572d65d1a814c138a77f3b60465fe37&uid=30635594&nid=244+272699400 HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.149 - - [10/Sep/2022:02:43:15 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/?t=1&cn=ZmxleGlibGVfcmVjc18y&refsrc=email&iid=2572d65d1a814c138a77f3b60465fe37&uid=30635594&nid=244+272699400" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/105.0.5195.102 Safari/537.36" 
66.249.64.143 - - [10/Sep/2022:02:43:16 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/?t=1&cn=ZmxleGlibGVfcmVjc18y&refsrc=email&iid=2572d65d1a814c138a77f3b60465fe37&uid=30635594&nid=244+272699400" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/105.0.5195.102 Safari/537.36" 
34.206.152.150 - - [10/Sep/2022:02:52:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:02:52:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:02:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:02:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
212.7.203.10 - - [10/Sep/2022:03:04:21 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" 
34.206.152.150 - - [10/Sep/2022:03:12:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:12:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.111 - - [10/Sep/2022:03:22:42 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Sep/2022:03:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:22:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:32:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:32:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:42:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:42:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
207.46.13.107 - - [10/Sep/2022:03:49:54 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
95.163.255.52 - - [10/Sep/2022:03:51:05 -0700] "GET /robots.txt HTTP/1.0" 200 340 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)" 
95.163.255.52 - - [10/Sep/2022:03:51:12 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/app_stats.html HTTP/1.1" 200 1554 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)" 
34.206.152.150 - - [10/Sep/2022:03:52:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:03:52:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:02:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:02:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.111 - - [10/Sep/2022:04:10:51 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Sep/2022:04:12:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:12:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
94.74.127.96 - - [10/Sep/2022:04:21:59 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36" 
34.206.152.150 - - [10/Sep/2022:04:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:22:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:32:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:32:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.102 - - [10/Sep/2022:04:34:02 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
165.22.104.55 - - [10/Sep/2022:04:36:43 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:44 -0700] "GET / HTTP/1.1" 200 49133 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:45 -0700] "GET //wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:45 -0700] "GET //xmlrpc.php?rsd HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:45 -0700] "GET / HTTP/1.1" 200 49110 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:46 -0700] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:46 -0700] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
