114.119.140.29 - - [30/Dec/2022:02:26:50 -0800] "GET /self.logs/access.log.2018-11-10.gz HTTP/1.1" 200 20787 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
40.77.167.16 - - [30/Dec/2022:02:33:17 -0800] "GET /self.logs/ HTTP/1.1" 200 40486 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
114.119.136.246 - - [30/Dec/2022:02:43:58 -0800] "GET /self.logs/error.log.2018-07-01.gz HTTP/1.1" 200 5817 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
90.91.153.97 - - [30/Dec/2022:02:46:44 -0800] "GET / HTTP/1.1" 200 13195 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
90.91.153.97 - - [30/Dec/2022:02:46:44 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 338 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:44 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 315 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 700 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET / HTTP/1.1" 200 13172 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 315 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 315 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET / HTTP/1.1" 200 13195 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 315 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 315 "-" "Safari/17614.2.9.1.13 CFNetwork/1335.0.3 Darwin/21.6.0" 
90.91.153.97 - - [30/Dec/2022:02:46:45 -0800] "GET / HTTP/1.1" 200 13172 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1" 
