114.119.148.184 - - [11/Apr/2023:02:38:15 -0700] "GET /self.logs/error.log.2017-01-20.gz HTTP/1.1" 200 892 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
95.69.32.6 - - [11/Apr/2023:02:41:30 -0700] "HEAD / HTTP/1.1" 200 425 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/96.0.0.0" 
114.119.149.250 - - [11/Apr/2023:02:41:51 -0700] "GET /self.logs/access.log.2017-08-07.gz HTTP/1.1" 200 38525 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.137.200 - - [11/Apr/2023:02:45:58 -0700] "GET /self.logs/error.log.2020-11-21 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
218.106.145.7 - - [11/Apr/2023:02:46:53 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 200 0 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:46:55 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 200 0 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:46:55 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 200 0 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:46:55 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 200 592381 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:47:00 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 304 255 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:47:30 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 304 0 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
218.106.145.7 - - [11/Apr/2023:02:47:31 -0700] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 304 0 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fmisc%2Fzeus_dga_domains.txt.zip" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.34" 
