106.55.239.218 - - [12/Apr/2023:02:11:44 -0700] "HEAD / HTTP/1.1" 200 388 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36" 
106.55.239.218 - - [12/Apr/2023:02:11:45 -0700] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (Linux; U; Android 7.1.2; zh-cn; rk3328-box Build/NHG47K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" 
106.55.239.218 - - [12/Apr/2023:02:11:45 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; U; Android 7.1.2; zh-cn; rk3328-box Build/NHG47K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" 
106.55.239.218 - - [12/Apr/2023:02:11:46 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; U; Android 7.1.2; zh-cn; rk3328-box Build/NHG47K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" 
106.55.239.218 - - [12/Apr/2023:02:11:46 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; U; Android 7.1.2; zh-cn; rk3328-box Build/NHG47K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" 
199.16.157.181 - - [12/Apr/2023:02:24:47 -0700] "GET /robots.txt HTTP/1.1" 301 439 "-" "Twitterbot/1.0" 
199.16.157.181 - - [12/Apr/2023:02:24:48 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Twitterbot/1.0" 
199.16.157.181 - - [12/Apr/2023:02:24:48 -0700] "GET / HTTP/1.1" 301 419 "-" "Twitterbot/1.0" 
199.16.157.180 - - [12/Apr/2023:02:24:48 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Twitterbot/1.0" 
199.16.157.180 - - [12/Apr/2023:02:24:48 -0700] "GET / HTTP/1.1" 200 13108 "-" "Twitterbot/1.0" 
49.7.20.111 - - [12/Apr/2023:02:27:29 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
38.150.11.236 - - [12/Apr/2023:02:30:16 -0700] "GET /SecurityRepository/APTdataset.html HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36" 
38.150.11.236 - - [12/Apr/2023:02:30:18 -0700] "GET /SecurityRepository/APTdataset.html HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36" 
38.150.11.236 - - [12/Apr/2023:02:30:21 -0700] "GET /SecurityRepository/APTdataset.html HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36" 
38.150.11.236 - - [12/Apr/2023:02:31:13 -0700] "GET /SecurityRepository/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36" 
3.91.235.143 - - [12/Apr/2023:02:42:55 -0700] "GET / HTTP/1.1" 200 13186 "-" "Iframely/1.3.1 (+https://iframely.com/docs/about)" 
173.38.220.40 - - [12/Apr/2023:02:45:46 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "https://cisco-eti.atlassian.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/112.0" 
