180.109.251.247 - - [20/Apr/2023:02:41:29 -0700] "GET //e/data/js/ajax.js HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
103.131.71.67 - - [20/Apr/2023:02:42:20 -0700] "GET /robots.txt HTTP/1.1" 301 458 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.67 - - [20/Apr/2023:02:42:23 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.57 - - [20/Apr/2023:02:42:25 -0700] "GET / HTTP/1.1" 301 438 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.174 - - [20/Apr/2023:02:42:27 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.87 - - [20/Apr/2023:02:42:29 -0700] "GET / HTTP/1.1" 200 13146 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.147 - - [20/Apr/2023:02:42:34 -0700] "GET / HTTP/1.1" 200 13146 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
103.131.71.139 - - [20/Apr/2023:02:42:55 -0700] "GET / HTTP/1.1" 200 13146 "-" "Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)" 
185.191.171.12 - - [20/Apr/2023:02:52:20 -0700] "GET /Datasets%20Description/PE_malware/?C=S%3BO%3DA HTTP/1.1" 200 649 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
46.101.158.159 - - [20/Apr/2023:03:10:03 -0700] "GET /tg/b.zip HTTP/1.1" 301 435 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
46.101.158.159 - - [20/Apr/2023:03:10:03 -0700] "GET /tg/b.zip HTTP/1.1" 200 42298231 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
51.222.253.2 - - [20/Apr/2023:03:29:12 -0700] "GET /Datasets%20Description/HTML_Bro_log_2/loaded_scripts.html HTTP/1.1" 200 1499 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
61.132.227.253 - - [20/Apr/2023:03:31:34 -0700] "GET /wap/e/install/index.php HTTP/1.1" 301 521 "-" "-" 
61.132.227.253 - - [20/Apr/2023:03:31:34 -0700] "GET /m/e/install/index.php HTTP/1.1" 301 461 "-" "-" 
61.132.227.253 - - [20/Apr/2023:03:31:34 -0700] "GET /e/install/index.php HTTP/1.1" 301 457 "-" "-" 
61.132.227.253 - - [20/Apr/2023:03:31:34 -0700] "GET /mip/e/install/index.php HTTP/1.1" 301 465 "-" "-" 
61.132.227.253 - - [20/Apr/2023:03:31:35 -0700] "GET /upload/e/install/index.php HTTP/1.1" 301 471 "-" "-" 
61.132.227.253 - - [20/Apr/2023:03:31:35 -0700] "GET /EmpireCMS_7.5_SC_GBK/upload/e/install/index.php HTTP/1.1" 301 513 "-" "-" 
159.226.94.122 - - [20/Apr/2023:03:38:39 -0700] "GET / HTTP/1.1" 200 13184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
159.226.94.122 - - [20/Apr/2023:03:38:41 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
159.226.94.122 - - [20/Apr/2023:03:38:43 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
159.226.94.122 - - [20/Apr/2023:03:38:46 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
159.226.94.122 - - [20/Apr/2023:03:39:06 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
117.203.101.65 - - [20/Apr/2023:03:43:56 -0700] "GET / HTTP/1.1" 200 13184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
117.203.101.65 - - [20/Apr/2023:03:43:56 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
117.203.101.65 - - [20/Apr/2023:03:43:56 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
117.203.101.65 - - [20/Apr/2023:03:43:56 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
117.203.101.65 - - [20/Apr/2023:03:44:49 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
61.135.159.196 - - [20/Apr/2023:03:45:12 -0700] "GET / HTTP/1.1" 200 13147 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
117.203.101.65 - - [20/Apr/2023:03:46:17 -0700] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 6607379 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
