182.131.31.33 - - [01/Jun/2023:02:38:32 -0700] "GET / HTTP/1.1" 200 13186 "http://www.secrepo.com" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)" 
216.244.66.245 - - [01/Jun/2023:02:38:37 -0700] "GET /self.logs/error.log.2020-08-22.gz HTTP/1.1" 200 718 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
138.246.236.155 - - [01/Jun/2023:02:38:38 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "OWLer/0.1 (built with StormCrawler; https://ows.eu/owler; owl@ow-s.eu)" 
138.246.236.155 - - [01/Jun/2023:02:38:38 -0700] "GET /maccdc2012/maccdc2012_fast_alert.7z HTTP/1.1" 200 9478237 "-" "OWLer/0.1 (built with StormCrawler; https://ows.eu/owler; owl@ow-s.eu)" 
216.244.66.245 - - [01/Jun/2023:02:39:10 -0700] "GET /self.logs/error.log.2020-10-20.gz HTTP/1.1" 200 1104 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:39:37 -0700] "GET /self.logs/error.log.2021-03-05 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:40:06 -0700] "GET /self.logs/error.log.2021-03-17.gz HTTP/1.1" 200 2110 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:40:32 -0700] "GET /self.logs/error.log.2021-06-07.gz HTTP/1.1" 200 1543 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
196.191.221.37 - - [01/Jun/2023:02:40:58 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:40:59 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:40:59 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:40:59 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:41:01 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
52.221.85.98 - - [01/Jun/2023:02:41:37 -0700] "GET /self.logs/2016/error.log.2016-11-10.gz HTTP/1.1" 200 720 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:02:40:57 -0700] "GET /self.logs/error.log.2021-10-07.gz HTTP/1.1" 200 113880 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:41:47 -0700] "GET /self.logs/error.log.2022-01-06.gz HTTP/1.1" 200 2695 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:42:16 -0700] "GET /self.logs/error.log.2022-01-13 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:42:47 -0700] "GET /self.logs/error.log.2022-02-02.gz HTTP/1.1" 200 3693 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:43:19 -0700] "GET /self.logs/error.log.2022-04-06 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:43:45 -0700] "GET /self.logs/error.log.2022-07-19.gz HTTP/1.1" 200 3236 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:44:11 -0700] "GET /self.logs/error.log.2020-03-31 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:02:44:35 -0700] "GET /self.logs/error.log.2020-04-10.gz HTTP/1.1" 200 1705 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
52.74.121.36 - - [01/Jun/2023:02:44:51 -0700] "GET /self.logs/2016/access.log.2016-05-29.gz HTTP/1.1" 200 8173 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:02:45:00 -0700] "GET /self.logs/error.log.2020-05-14 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
