51.222.253.10 - - [12/Jun/2023:02:21:19 -0700] "GET /Datasets%20Description/HTML_Bro_log_1/ftp.html HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
222.18.142.192 - - [12/Jun/2023:02:21:27 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 304 263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43" 
85.208.98.199 - - [12/Jun/2023:02:28:27 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; SiteAuditBot/0.97; +http://www.semrush.com/bot.html)" 
85.208.98.198 - - [12/Jun/2023:02:28:27 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; SiteAuditBot/0.97; +http://www.semrush.com/bot.html)" 
213.188.155.148 - - [12/Jun/2023:02:35:01 -0700] "GET / HTTP/1.1" 301 475 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:35:01 -0700] "GET / HTTP/1.1" 200 13186 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:35:05 -0700] "GET / HTTP/1.1" 301 475 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:35:05 -0700] "GET / HTTP/1.1" 200 13186 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:35:05 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:35:06 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:41:10 -0700] "GET / HTTP/1.1" 301 475 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:41:10 -0700] "GET / HTTP/1.1" 200 13186 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:41:10 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "python-requests/2.29.0" 
213.188.155.148 - - [12/Jun/2023:02:41:11 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "python-requests/2.29.0" 
195.191.219.131 - - [12/Jun/2023:02:49:04 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
195.191.219.131 - - [12/Jun/2023:02:49:06 -0700] "GET / HTTP/1.1" 200 13108 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
54.190.183.175 - - [12/Jun/2023:02:49:38 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 304 226 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.0.0" 
46.249.121.36 - - [12/Jun/2023:02:50:52 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" 
46.249.121.36 - - [12/Jun/2023:02:50:52 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" 
46.249.121.36 - - [12/Jun/2023:02:50:53 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" 
46.249.121.36 - - [12/Jun/2023:02:50:53 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36" 
100.26.99.69 - - [12/Jun/2023:02:50:56 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (compatible; startmebot/1.0; +https://start.me/bot)" 
35.203.255.115 - - [12/Jun/2023:02:58:17 -0700] "HEAD / HTTP/1.1" 200 425 "http://www.secrepo.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15" 
35.203.255.115 - - [12/Jun/2023:02:58:17 -0700] "GET / HTTP/1.1" 200 13163 "http://www.secrepo.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15" 
3.145.94.149 - - [12/Jun/2023:02:58:20 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43" 
54.191.82.125 - - [12/Jun/2023:02:58:20 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43" 
54.191.82.125 - - [12/Jun/2023:02:58:20 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43" 
3.145.179.224 - - [12/Jun/2023:02:58:24 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43" 
107.178.200.201 - - [12/Jun/2023:02:58:27 -0700] "HEAD / HTTP/1.1" 200 425 "http://www.secrepo.com" "Mozilla/5.0 (Linux; Android 13; Pixel 4a (5G) Build/TQ2A.230505.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.5615.136 Mobile Safari/537.36 GoogleApp/14.16.27.29.arm64" 
