43.134.231.202 - - [18/Aug/2023:02:28:40 -0700] "GET /favicon.ico HTTP/1.1" 200 347 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36 Core/1.94.197.400 QQBrowser/11.7.5287.400" 
66.249.66.198 - - [18/Aug/2023:02:28:48 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.66.66 - - [18/Aug/2023:02:28:49 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.66.64 - - [18/Aug/2023:02:28:52 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/116.0.5845.96 Safari/537.36" 
157.55.39.217 - - [18/Aug/2023:02:28:53 -0700] "GET /self.logs/access.log.2018-07-06.gz HTTP/1.1" 200 28054 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
157.55.39.217 - - [18/Aug/2023:02:38:02 -0700] "GET /self.logs/access.log.2017-08-02.gz HTTP/1.1" 200 17915 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
171.212.240.100 - - [18/Aug/2023:02:48:21 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
171.212.240.100 - - [18/Aug/2023:02:48:22 -0700] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 328 "-" "Safari%E6%B5%8F%E8%A7%88%E5%99%A8/16615.2.9.101.1 CFNetwork/1240.0.4.3 Darwin/20.6.0" 
171.212.240.100 - - [18/Aug/2023:02:48:22 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 305 "-" "Safari%E6%B5%8F%E8%A7%88%E5%99%A8/16615.2.9.101.1 CFNetwork/1240.0.4.3 Darwin/20.6.0" 
171.212.240.100 - - [18/Aug/2023:02:48:22 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "-" "Safari%E6%B5%8F%E8%A7%88%E5%99%A8/16615.2.9.101.1 CFNetwork/1240.0.4.3 Darwin/20.6.0" 
171.212.240.100 - - [18/Aug/2023:02:48:23 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1" 
