40.77.167.60 - - [08/Oct/2023:02:13:19 -0700] "GET /self.logs/access.log.2017-03-14.gz HTTP/1.1" 200 16506 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
107.20.105.74 - - [08/Oct/2023:02:16:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [08/Oct/2023:02:16:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET / HTTP/1.1" 301 475 "-" "python-requests/2.26.0" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET / HTTP/1.1" 200 13187 "-" "python-requests/2.26.0" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET / HTTP/1.1" 301 419 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/96.0.4664.45 Safari/537.36" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET / HTTP/1.1" 200 49089 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/96.0.4664.45 Safari/537.36" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET /css/style.css HTTP/1.1" 404 250 "http://www.secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/96.0.4664.45 Safari/537.36" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7512 "http://www.secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/96.0.4664.45 Safari/537.36" 
69.164.217.22 - - [08/Oct/2023:02:18:55 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27872 "http://www.secrepo.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/96.0.4664.45 Safari/537.36" 
49.7.20.137 - - [08/Oct/2023:02:21:24 -0700] "GET / HTTP/1.1" 200 13150 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
51.222.253.6 - - [08/Oct/2023:02:22:47 -0700] "GET /Datasets%20Description/HTML_Bro_log_2/ HTTP/1.1" 200 788 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
107.20.105.74 - - [08/Oct/2023:02:26:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [08/Oct/2023:02:26:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
51.222.253.9 - - [08/Oct/2023:02:29:08 -0700] "GET / HTTP/1.1" 200 13143 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
107.20.105.74 - - [08/Oct/2023:02:36:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [08/Oct/2023:02:36:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
210.13.32.150 - - [08/Oct/2023:02:38:55 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47" 
