157.55.39.53 - - [08/Dec/2023:02:34:40 -0800] "GET /self.logs/2016/access.log.2016-06-10.gz HTTP/1.1" 200 16833 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
94.23.203.180 - - [08/Dec/2023:02:45:20 -0800] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:21 -0800] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:22 -0800] "GET /%C2%A0%C2%A0 HTTP/1.1" 301 427 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:24 -0800] "GET /%C3%82%C2%A0%C3%82 HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.228.169.182 - - [08/Dec/2023:02:45:25 -0800] "GET /.env HTTP/1.1" 429 486 "-" "python-requests/2.26.0" 
94.228.169.182 - - [08/Dec/2023:02:45:25 -0800] "POST / HTTP/1.1" 429 485 "-" "python-requests/2.26.0" 
94.23.203.180 - - [08/Dec/2023:02:45:25 -0800] "GET /honeypot//%22http://amunhoney.sourceforge.net//%22 HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.228.169.182 - - [08/Dec/2023:02:45:28 -0800] "GET /.env HTTP/1.1" 301 483 "-" "python-requests/2.26.0" 
94.228.169.182 - - [08/Dec/2023:02:45:28 -0800] "GET /.env HTTP/1.1" 429 486 "-" "python-requests/2.26.0" 
94.228.169.182 - - [08/Dec/2023:02:45:28 -0800] "POST / HTTP/1.1" 301 474 "-" "python-requests/2.26.0" 
94.228.169.182 - - [08/Dec/2023:02:45:28 -0800] "GET / HTTP/1.1" 429 485 "-" "python-requests/2.26.0" 
94.23.203.180 - - [08/Dec/2023:02:45:31 -0800] "GET /honeypot//%22http://glastopf.org//%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:34 -0800] "GET /honeypot//%22http://www.maxmind.com/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:38 -0800] "GET /honeypot//%22https://twitter.com/sooshie/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:42 -0800] "GET /honeypot//%22https://twitter.com/theroxyd/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:45:45 -0800] "GET /self.logs/ HTTP/1.1" 200 46818 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:46:03 -0800] "GET /%C2%A0 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.203.180 - - [08/Dec/2023:02:46:07 -0800] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
114.119.138.154 - - [08/Dec/2023:02:46:10 -0800] "GET /self.logs/error.log.2020-11-01 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
20.191.45.212 - - [08/Dec/2023:02:47:55 -0800] "GET / HTTP/1.1" 200 13186 "http://www.secrepo.com/" "Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)" 
