57.141.0.11 - - [13/Aug/2024:02:35:03 -0700] "GET /Datasets%20Description/HTML_Bro_log_2/files.html HTTP/1.1" 200 6227 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 
114.119.128.10 - - [13/Aug/2024:02:35:55 -0700] "GET /self.logs/error.log.2020-12-26 HTTP/1.1" 200 351 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
57.141.0.5 - - [13/Aug/2024:02:36:45 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 930921 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 
169.159.218.239 - - [13/Aug/2024:02:36:46 -0700] "GET /self.logs HTTP/1.1" 301 563 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.239 - - [13/Aug/2024:02:36:46 -0700] "GET /self.logs/ HTTP/1.1" 200 51471 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.239 - - [13/Aug/2024:02:36:53 -0700] "GET /favicon.ico HTTP/1.1" 200 368 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.239 - - [13/Aug/2024:02:37:03 -0700] "GET /self.logs/ HTTP/1.1" 200 51494 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.239 - - [13/Aug/2024:02:37:10 -0700] "GET /self.logs/access.log.2017-02-12.gz HTTP/1.1" 200 17819 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:37:50 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:37:50 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:37:52 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:37:52 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7512 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:37:55 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:38:00 -0700] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.175 - - [13/Aug/2024:02:38:00 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
114.119.139.166 - - [13/Aug/2024:02:40:55 -0700] "GET /self.logs/error.log.2020-03-10 HTTP/1.1" 200 351 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.150.155 - - [13/Aug/2024:02:45:55 -0700] "GET /self.logs/error.log.2020-12-05 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
202.61.85.71 - - [13/Aug/2024:02:47:03 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4280.67 Safari/537.36 Edg/97.0.664.52" 
143.92.32.66 - - [13/Aug/2024:02:47:49 -0700] "GET /zb_system/login.php HTTP/1.1" 404 328 "http://www.secrepo.com/zb_system/login.php" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
69.171.249.114 - - [13/Aug/2024:02:48:54 -0700] "GET /self.logs/error.log.2023-11-07 HTTP/1.1" 429 486 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 
17.241.227.19 - - [13/Aug/2024:02:55:10 -0700] "GET /self.logs/?C=N&O=A HTTP/1.1" 200 51450 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
173.252.107.115 - - [13/Aug/2024:02:55:41 -0700] "GET /Datasets%20Description/ HTTP/1.1" 429 486 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 
69.171.230.114 - - [13/Aug/2024:02:59:14 -0700] "GET /self.logs/error.log.2020-09-09 HTTP/1.1" 429 486 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 
169.159.218.47 - - [13/Aug/2024:02:59:15 -0700] "GET /self.logs/ HTTP/1.1" 200 51494 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
169.159.218.239 - - [13/Aug/2024:03:00:04 -0700] "GET /self.logs/access.log.2017-05-31.gz HTTP/1.1" 200 18752 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36" 
147.185.132.30 - - [13/Aug/2024:03:00:22 -0700] "GET / HTTP/1.1" 301 419 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com" 
